#Time	'HT Avg'	'MT Avg'	'LIT Avg'	'LT Avg'	'Total Avg'	'count'
3.26	-2.808219	0.854027	1.011952	2.775591	0.910000	10535.000000
3.27	-2.931507	0.869128	1.003984	2.488189	0.865000	10553.000000
3.28	-2.815068	0.857383	1.013944	2.570866	0.885500	10585.000000
3.29	-2.513699	0.756711	1.039841	2.507874	0.882500	10618.000000
3.3	-2.486301	0.770134	1.074701	2.192913	0.866000	10648.000000
3.31	-2.424658	0.721477	1.065737	2.279528	0.862500	10670.000000
3.32	-2.890411	0.644295	0.990040	2.397638	0.782500	10712.000000
3.33	-3.157534	0.674497	1.093625	2.318898	0.814000	10752.000000
3.34	-3.219178	0.692953	1.129482	2.437008	0.848000	10781.000000
3.35	-3.143836	0.729866	1.087649	2.401575	0.839000	10814.000000
3.36	-3.000000	0.963087	1.075697	2.598425	0.938000	10845.000000
3.37	-2.917808	0.860738	1.072709	2.484252	0.897500	10878.000000
3.38	-2.773973	0.820470	1.107570	2.610236	0.929500	10909.000000
3.39	-3.212329	0.755034	1.106574	2.744094	0.894500	10936.000000
3.4	-3.280822	0.570470	1.142430	2.503937	0.822000	10977.000000
3.41	-3.650685	0.531879	1.153386	2.385827	0.774000	11003.000000
3.42	-3.842466	0.526846	1.218127	2.433071	0.797000	11030.000000
3.43	-3.849315	0.506711	1.235060	2.523622	0.810500	11056.000000
3.44	-3.424658	0.426174	1.257968	2.311024	0.802000	11092.000000
3.45	-3.486301	0.481544	1.249004	2.456693	0.828000	11124.000000
3.46	-3.479452	0.370805	1.277888	2.346457	0.796000	11160.000000
3.47	-3.410959	0.231544	1.249004	2.267717	0.735000	11193.000000
3.48	-3.417808	0.387584	1.223108	2.389764	0.783500	11225.000000
3.49	-3.273973	0.463087	1.206175	2.409449	0.810500	11262.000000
3.5	-3.404110	0.563758	1.215139	2.271654	0.818000	11303.000000
3.51	-3.534247	0.568792	1.191235	2.275591	0.798500	11342.000000
3.52	-3.719178	0.632550	1.285857	1.956693	0.811000	11375.000000
3.53	-3.500000	0.756711	1.254980	1.885827	0.839500	11402.000000
3.54	-3.547945	0.805369	1.222112	1.960630	0.843500	11432.000000
3.55	-3.472603	0.692953	1.257968	1.881890	0.823500	11460.000000
3.56	-3.458904	0.696309	1.388446	1.728346	0.871500	11499.000000
3.57	-3.212329	0.662752	1.315737	1.767717	0.848000	11525.000000
3.58	-3.150685	0.751678	1.254980	1.692913	0.839000	11547.000000
3.59	-3.205479	0.812081	1.243028	1.614173	0.837000	11571.000000
3.6	-3.061644	0.832215	1.221116	1.665354	0.849000	11599.000000
3.61	-2.924658	0.778523	1.313745	1.602362	0.881500	11636.000000
3.62	-2.910959	0.904362	1.263944	1.645669	0.900500	11662.000000
3.63	-2.849315	0.914430	1.202191	1.559055	0.866000	11694.000000
3.64	-2.876712	0.969799	1.112550	1.574803	0.837500	11716.000000
3.65	-2.945205	1.000000	1.031873	1.511811	0.793000	11765.000000
3.66	-2.952055	1.075503	1.002988	1.515748	0.801000	11793.000000
3.67	-3.534247	1.145973	0.899402	1.527559	0.729000	11825.000000
3.68	-3.602740	1.030201	1.029880	1.452756	0.745500	11860.000000
3.69	-3.760274	1.184564	0.896414	1.712598	0.746000	11894.000000
3.7	-3.828767	1.312081	0.904382	1.649606	0.775000	11930.000000
3.71	-3.897260	1.253356	0.864542	1.637795	0.731000	11953.000000
3.72	-4.047945	1.414430	0.944223	1.566929	0.799000	11983.000000
3.73	-4.041096	1.369128	0.925299	1.496063	0.767500	12014.000000
3.74	-4.082192	1.333893	1.128486	1.381890	0.841500	12042.000000
3.75	-3.547945	1.382550	1.012948	1.393701	0.838500	12067.000000
3.76	-3.684932	1.580537	1.024900	1.358268	0.889000	12097.000000
3.77	-3.746575	1.550336	0.952191	1.507874	0.858000	12128.000000
